X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
397330,138916,20011635,2020/01/20 11:33:05+00,2020/01/20 05:48:24+00,2020/01/20 09:01:43+00,1300 - 1399 BLOCK OF V STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,,397330,138916,38.9181090073,-77.0307880913,940447470,
396029,137018,20012148,2020/01/21 04:43:03+00,2020/01/21 03:10:48+00,2020/01/21 03:15:20+00,2000 - 2099 BLOCK OF PENNSYLVANIA AVENUE NW,THEFT/OTHER,OTHERS,MIDNIGHT,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,,396029,137018,38.901006259,-77.0457791014,940447471,
397904,140846,20012426,2020/01/21 18:58:15+00,2020/01/21 18:31:23+00,2020/01/21 18:33:39+00,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,THEFT/OTHER,OTHERS,DAY,1,1E,4,409,Cluster 2,003100 2,003100,Precinct 43,,397904,140846,38.9354966096,-77.0241751222,940447472,
401147,134664,20013182,2020/01/23 02:19:38+00,2020/01/22 21:42:58+00,2020/01/22 21:45:58+00,1350 - 1399 BLOCK OF POTOMAC AVENUE SE,THEFT/OTHER,OTHERS,EVENING,6,6B,1,106,Cluster 26,007100 3,007100,Precinct 91,CAPITOL HILL,401147,134664,38.8798087686,-76.9867809044,940447473,
397430,138552,20013260,2020/01/23 00:18:22+00,2020/01/22 22:45:23+00,2020/01/23 00:10:49+00,1800 - 1899 BLOCK OF 13TH STREET NW,ROBBERY,OTHERS,EVENING,1,1B,,,Cluster 3,004402 1,004402,Precinct 22,,397430,138552,38.914830273,-77.0296336169,940447474,
400232,135255,20013419,2020/01/23 05:12:59+00,2020/01/23 03:59:45+00,2020/01/23 04:00:25+00,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,THEFT/OTHER,OTHERS,MIDNIGHT,6,6B,1,107,Cluster 26,006500 1,006500,Precinct 89,CAPITOL HILL,400232,135255,38.8851334424,-76.9973260165,940447475,
397101,137254,20013445,2020/01/23 06:11:50+00,2020/01/23 02:08:42+00,2020/01/23 02:09:54+00,1000 - 1099 BLOCK OF VERMONT AVENUE NW,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,2,2C,2,207,Cluster 8,010100 1,010100,Precinct 129,DOWNTOWN,397101,137254,38.9031364198,-77.0334217013,940447476,
400914,132646,20013498,2020/01/23 12:01:36+00,2020/01/23 11:18:54+00,2020/01/23 11:59:43+00,1300 - 1387 BLOCK OF MORRIS ROAD SE,THEFT F/AUTO,OTHERS,DAY,8,8A,7,701,Cluster 28,007503 2,007503,Precinct 114,,400914,132646,38.8616300815,-76.9894688962,940447477,
395263,146344,20013770,2020/01/23 20:36:30+00,2020/01/23 19:00:54+00,2020/01/23 20:30:43+00,7400  - 7499 BLOCK OF WESTERN AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,4,3/4G,2,201,Cluster 10,001500 1,001500,Precinct 51,,395263,146344,38.9850137225,-77.0546742118,940447478,
399470,128593,20013990,2020/01/24 03:12:25+00,2020/01/24 00:21:47+00,2020/01/24 00:40:48+00,2 - 99 BLOCK OF FORRESTER STREET SE,ROBBERY,GUN,EVENING,8,8D,7,708,Cluster 39,009810 2,009810,Precinct 126,,399470,128593,38.8251191681,-77.0061035353,940447479,
400695,140731,20014401,2020/01/24 19:14:49+00,2020/01/24 18:11:39+00,,1000 - 1199 BLOCK OF OTIS STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5B,5,504,Cluster 20,009504 1,009504,Precinct 68,,400695,140731,38.9344628803,-76.9919840333,940447480,
