Feature Group,N Features,Precision Macro,Precision Weighted,F1 Macro
All features (full model),26,0.5441,0.5648,0.522
hist_* only,3,0.5407,0.5619,0.5195
hist_* + lag_*,6,0.5382,0.5602,0.5181
Spatial + Temporal + Relative,17,0.5027,0.5405,0.4951
lag_* only,3,0.4927,0.5258,0.4917
Spatial only,4,0.4704,0.5103,0.4686
Spatial + Temporal,13,0.428,0.464,0.4273
Stability features,3,0.4243,0.4691,0.3843
