Scenario,Precision Macro,F1 Macro,Coverage,Note
London baseline,0.4879,0.453,1.0,no transfer
Zero-shot Chicago->London,0.4873,0.4492,1.0,0% target data
Fine-tune 10%,0.5038,0.4494,1.0,10% target+src proba
Fine-tune 20%,0.5024,0.4476,1.0,20% target+src proba
Fine-tune 50%,0.5039,0.4488,1.0,50% target+src proba
Teacher-Student (T=3.0),0.5024,0.4491,1.0,soft labels
