lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
53.57,-1.79,3,28,violent,0.03571428571428571,1.0973511772469036,violent,0.7367,True,0.0849,0.1784,0.7367,73.7,West Yorkshire,medium
53.57,-1.78,0,10,violent,0.5,0.8018185525433373,violent,0.7447,True,0.0821,0.1732,0.7447,74.5,West Yorkshire,medium
53.57,-1.78,1,10,violent,0.5,0.8018185525433373,violent,0.7893,True,0.0765,0.1342,0.7893,78.9,West Yorkshire,medium
53.57,-1.78,2,7,property,0.14285714285714285,1.0789922078775833,violent,0.7888,False,0.0767,0.1344,0.7888,78.9,West Yorkshire,medium
53.57,-1.78,3,11,violent,0.2727272727272727,0.6554817949691769,violent,0.7894,True,0.0765,0.1341,0.7894,78.9,West Yorkshire,medium
53.57,-1.76,0,3,other,0.3333333333333333,0.6365141893815645,violent,0.7324,False,0.0856,0.1821,0.7324,73.2,West Yorkshire,medium
53.57,-1.76,2,3,property,0.3333333333333333,0.6365141893815645,violent,0.7884,False,0.0769,0.1347,0.7884,78.8,West Yorkshire,medium
53.57,-1.75,0,3,property,0.3333333333333333,0.6365141893815645,violent,0.4997,False,0.3401,0.1601,0.4997,50.0,West Yorkshire,uncertain
53.57,-1.75,1,3,other,0.3333333333333333,0.6365141893815645,violent,0.5629,False,0.1017,0.3354,0.5629,56.3,West Yorkshire,medium
53.57,-1.72,0,4,violent,1.0,4.3446531758480495e-08,violent,0.7889,True,0.0767,0.1344,0.7889,78.9,West Yorkshire,medium
53.57,-1.72,1,5,violent,1.0,4.3446531758480495e-08,violent,0.7837,True,0.0786,0.1377,0.7837,78.4,West Yorkshire,medium
53.57,-1.72,2,3,violent,0.3333333333333333,0.6365141893815645,violent,0.7837,True,0.0786,0.1377,0.7837,78.4,West Yorkshire,medium
53.57,-1.72,3,7,violent,1.0,4.3446531758480495e-08,violent,0.7882,True,0.077,0.1348,0.7882,78.8,West Yorkshire,medium
53.57,-1.71,0,3,property,0.3333333333333333,0.6365141893815645,property,0.4809,True,0.0802,0.4809,0.4389,43.9,West Yorkshire,uncertain
