lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
33.730000000000004,-118.3,2,49,property,0.061224489795918366,1.022783422366055,property,0.7601,True,0.1368,0.7601,0.1031,10.3,LA,medium
33.730000000000004,-118.3,3,64,property,0.046875,1.073763865055576,property,0.7598,True,0.1367,0.7598,0.1035,10.4,LA,medium
33.730000000000004,-118.29,0,61,property,0.14754098360655737,1.0719278546637319,property,0.7598,True,0.1368,0.7598,0.1034,10.3,LA,medium
33.730000000000004,-118.29,1,72,property,0.09722222222222222,1.087923282409353,property,0.7496,True,0.138,0.7496,0.1123,11.2,LA,medium
33.730000000000004,-118.29,2,125,other,0.032,1.0866598017472922,property,0.6928,False,0.1251,0.6928,0.1821,18.2,LA,medium
33.730000000000004,-118.29,3,131,property,0.04580152671755725,1.0869522738825677,property,0.7596,True,0.1366,0.7596,0.1038,10.4,LA,medium
33.730000000000004,-118.28,0,31,violent,0.0,1.0943511658532066,property,0.7138,False,0.1303,0.7138,0.1559,15.6,LA,medium
33.730000000000004,-118.28,1,54,other,0.18518518518518517,1.0623275418818339,property,0.7437,False,0.139,0.7437,0.1172,11.7,LA,medium
33.730000000000004,-118.28,2,54,property,0.12962962962962962,1.0670903350030458,property,0.7596,True,0.1369,0.7596,0.1035,10.4,LA,medium
33.730000000000004,-118.28,3,71,other,0.056338028169014086,0.9450242385877754,property,0.6962,False,0.1262,0.6962,0.1776,17.8,LA,medium
33.730000000000004,-118.24000000000001,2,3,other,0.3333333333333333,0.6365141893815645,property,0.7628,False,0.1371,0.7628,0.1001,10.0,LA,medium
33.74,-118.32000000000001,1,8,other,0.625,0.7356219397587946,property,0.7639,False,0.1371,0.7639,0.099,9.9,LA,medium
33.74,-118.32000000000001,2,11,property,0.2727272727272727,0.9949236325717752,property,0.7632,True,0.1374,0.7632,0.0994,9.9,LA,medium
33.74,-118.32000000000001,3,4,property,0.5,0.562335165779739,property,0.7633,True,0.1371,0.7633,0.0996,10.0,LA,medium
33.74,-118.31,0,11,other,0.18181818181818182,0.9164648855394713,property,0.7597,False,0.1368,0.7597,0.1035,10.4,LA,medium
33.74,-118.31,1,14,other,0.14285714285714285,0.992281974852574,property,0.7638,False,0.1371,0.7638,0.099,9.9,LA,medium
33.74,-118.31,2,21,property,0.19047619047619047,0.9829007277151564,property,0.7632,True,0.1373,0.7632,0.0995,10.0,LA,medium
33.74,-118.31,3,25,property,0.4,0.8825632953798344,property,0.7639,True,0.1371,0.7639,0.099,9.9,LA,medium
33.74,-118.3,0,17,property,0.4117647058823529,0.6057975204897723,property,0.7636,True,0.1371,0.7636,0.0993,9.9,LA,medium
33.74,-118.3,1,22,property,0.0,1.0412597335159743,property,0.7548,True,0.1374,0.7548,0.1078,10.8,LA,medium
33.74,-118.3,2,33,property,0.3939393939393939,0.7945606059807586,property,0.7637,True,0.1371,0.7637,0.0992,9.9,LA,medium
33.74,-118.3,3,27,property,0.37037037037037035,0.7527915335758235,property,0.7638,True,0.1371,0.7638,0.099,9.9,LA,medium
33.74,-118.29,0,87,property,0.19540229885057472,1.0352321806601852,property,0.7595,True,0.1365,0.7595,0.104,10.4,LA,medium
33.74,-118.29,1,106,property,0.009433962264150943,1.0947047528245342,property,0.7568,True,0.1368,0.7568,0.1064,10.6,LA,medium
33.74,-118.29,2,144,property,0.1111111111111111,1.0858658125401528,property,0.7634,True,0.1371,0.7634,0.0995,9.9,LA,medium
33.74,-118.29,3,193,property,0.09326424870466321,1.026816314788369,property,0.7633,True,0.1371,0.7633,0.0996,10.0,LA,medium
33.74,-118.28,0,51,property,0.0196078431372549,1.0974582200395582,property,0.6784,True,0.1223,0.6784,0.1992,19.9,LA,medium
33.74,-118.28,1,53,property,0.09433962264150944,0.9628194985310135,property,0.757,True,0.1372,0.757,0.1058,10.6,LA,medium
33.74,-118.28,2,140,property,0.05,1.0930750626690369,property,0.7602,True,0.1368,0.7602,0.103,10.3,LA,medium
33.74,-118.28,3,133,property,0.015037593984962405,1.0914010481042367,property,0.681,True,0.1228,0.681,0.1962,19.6,LA,medium
33.75,-118.31,0,10,property,0.4,0.9502705392332347,property,0.7435,True,0.1436,0.7435,0.1129,11.3,LA,medium
33.75,-118.31,1,20,property,0.1,0.9433483923290392,property,0.7487,True,0.1463,0.7487,0.105,10.5,LA,medium
33.75,-118.31,2,38,property,0.05263157894736842,1.0851928546349756,property,0.7634,True,0.1371,0.7634,0.0995,9.9,LA,medium
33.75,-118.31,3,29,property,0.10344827586206896,1.052787230251689,property,0.7354,True,0.1358,0.7354,0.1287,12.9,LA,medium
33.75,-118.3,0,17,property,0.5294117647058824,0.803742107316203,property,0.7641,True,0.1371,0.7641,0.0988,9.9,LA,medium
33.75,-118.3,1,16,property,0.4375,0.9214934308679616,property,0.7632,True,0.1374,0.7632,0.0994,9.9,LA,medium
33.75,-118.3,2,25,property,0.44,0.9007243623687382,property,0.7637,True,0.1371,0.7637,0.0991,9.9,LA,medium
33.75,-118.3,3,25,property,0.24,0.9437489523059353,property,0.7639,True,0.1371,0.7639,0.099,9.9,LA,medium
33.75,-118.29,0,23,property,0.21739130434782608,1.005692986132508,property,0.7484,True,0.1454,0.7484,0.1062,10.6,LA,medium
33.75,-118.29,1,29,other,0.06896551724137931,1.075361286166348,property,0.7635,False,0.1371,0.7635,0.0994,9.9,LA,medium
33.75,-118.29,2,43,other,0.023255813953488372,1.0739466893044314,property,0.7577,False,0.1368,0.7577,0.1055,10.6,LA,medium
33.75,-118.29,3,54,property,0.16666666666666666,1.0114042647073518,property,0.6772,True,0.122,0.6772,0.2008,20.1,LA,medium
33.75,-118.28,0,18,property,0.1111111111111111,1.0608569471580214,property,0.6886,True,0.1243,0.6886,0.187,18.7,LA,medium
33.75,-118.28,1,40,property,0.325,0.969789730621484,property,0.7504,True,0.1425,0.7504,0.107,10.7,LA,medium
33.75,-118.28,2,46,property,0.17391304347826086,1.0161924330903498,property,0.7379,True,0.134,0.7379,0.1282,12.8,LA,medium
33.75,-118.28,3,37,violent,0.21621621621621623,1.0178757599866126,property,0.7484,False,0.1458,0.7484,0.1059,10.6,LA,medium
33.76,-118.31,0,9,property,0.3333333333333333,0.6365141893815645,property,0.764,True,0.1371,0.764,0.0989,9.9,LA,medium
33.76,-118.31,1,6,property,0.5,0.8675632284814613,property,0.7483,True,0.1461,0.7483,0.1056,10.6,LA,medium
33.76,-118.31,2,11,property,0.2727272727272727,0.9949236325717752,property,0.751,True,0.1429,0.751,0.1061,10.6,LA,medium
33.76,-118.31,3,11,property,0.0,0.9347698978582792,property,0.7609,True,0.1381,0.7609,0.101,10.1,LA,medium
33.76,-118.3,0,11,property,0.2727272727272727,0.6554817949691769,property,0.7488,True,0.1465,0.7488,0.1047,10.5,LA,medium
33.76,-118.3,1,16,other,0.0625,1.094780226007948,property,0.764,False,0.1371,0.764,0.0989,9.9,LA,medium
33.76,-118.3,2,22,property,0.13636363636363635,0.8367742263818623,property,0.7602,True,0.1368,0.7602,0.1029,10.3,LA,medium
33.76,-118.3,3,28,property,0.17857142857142858,1.019025461146272,property,0.7587,True,0.1371,0.7587,0.1042,10.4,LA,medium
33.76,-118.29,0,34,property,0.058823529411764705,0.8742524591276698,property,0.7484,True,0.1464,0.7484,0.1051,10.5,LA,medium
33.76,-118.29,1,34,property,0.38235294117647056,0.8477195823834187,property,0.7641,True,0.1371,0.7641,0.0988,9.9,LA,medium
33.76,-118.29,2,73,property,0.6164383561643836,0.7279291883927055,property,0.7629,True,0.1371,0.7629,0.1001,10.0,LA,medium
33.76,-118.29,3,31,property,0.22580645161290322,1.0182776055422171,property,0.7547,True,0.14,0.7547,0.1053,10.5,LA,medium
33.76,-118.28,2,4,other,0.5,0.5623351657797391,property,0.755,False,0.1375,0.755,0.1075,10.7,LA,medium
33.76,-118.25,2,4,other,1.0,4.34465315364359e-08,property,0.7636,False,0.1371,0.7636,0.0992,9.9,LA,medium
