Feature Group,N Features,Precision Macro,Precision Weighted,F1 Macro
Spatial + Temporal,13,0.5516,0.9435,0.5649
Stability features,3,0.551,0.9528,0.553
Spatial + Temporal + Relative,17,0.5375,0.9397,0.5451
hist_* only,3,0.5311,0.938,0.5358
All features (full model),26,0.5296,0.9378,0.5343
hist_* + lag_*,6,0.5258,0.9374,0.5302
Spatial only,4,0.5178,0.939,0.5084
lag_* only,3,0.5172,0.9397,0.5001
